id_fact_check|fc_title|fc_url_poynter|fc_rl_fact_checker|fc_agency|fc_country|fc_date|id_tweet_replier|rep_user_id|rep_created_at|rep_text|rep_lang|rep_like_count|rep_rt_count|id_tweet_spreader|sp_user_id|sp_created_at|sp_text|sp_lang|sp_like_count|sp_rt_count
62|FALSE: COVID-19 is the same as the common cold.|https://www.poynter.org/?ifcn_misinformation=covid-19-is-the-same-as-the-common-cold|https://www.factcheck.org/2021/12/scicheck-covid-19-far-more-lethal-than-a-cold-contrary-to-suggestion-in-viral-video/|FactCheck.org|United States|2021/12/20|1539313259861266432|788174490|2022-06-21T18:24:14.000Z|@FukJoeXiden @lilterrancebeat @PatrioticPizzas Bruh did you see a TikTok video and mistake it for a CDC press release??? https://t.co/R635dRXC2e https://t.co/tPHNoXp6eX|en|0|0|1539312381867634690|1524144282273148928|2022-06-21T18:20:45.000Z|@ChristophSouza @lilterrancebeat @PatrioticPizzas The science has shown from day 1 that vaccines are more dangerous for kids than covid itself which the cdc has admitted for some time is now less lethal than a common cold for adults,for kids it always has been.|en|0|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1546831095286890496|1346947438960013312|2022-07-12T12:17:26.000Z|"@Lukestruth @PRGuy17 @leaders_au @P_McCulloughMD He's a discredited crackpot.

https://t.co/qSrqS1Yoj6"|en|1|0|1546824554495954945|1518736530709262336|2022-07-12T11:51:27.000Z|"@Dave_Calls_BS @PRGuy17 @leaders_au Just because the video is on rumble does not mean the Senate hearing was not real?  @P_McCulloughMD is the best doctor on the planet by far too. He on twitter is you have questions for him. Listen to all the science we learnt in last 2 years of covid. 
https://t.co/ojBqk5fSvb"|en|0|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1546772696679456768|938681695020007424|2022-07-12T08:25:23.000Z|@THE_ROBBO_ @LukeRil73428771 @marzephyr12 @sassycarrie @AlboMP @P_McCulloughMD @BretWeinstein @chrismartenson They are all discredited as conspiracy theorists as their evidence is lacking. Peter is a loony. https://t.co/qPOxe8KFnK|en|0|0|1546770058998779904|426367831|2022-07-12T08:14:54.000Z|"@MrStyzz @LukeRil73428771 @marzephyr12 @sassycarrie @AlboMP What about @P_McCulloughMD?
He’s seems legit.
What about @BretWeinstein, @chrismartenson 
Australia has pre purchased at shit ton of the so called vaccines. They need uptake so they don’t come across as waiting millions."|en|0|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1545834083313401856|242226743|2022-07-09T18:15:40.000Z|"@Edthedawg @punkybrewsters1 @TinkerCunt_ Why would I need to argue with them? They don't show provide evidence to support the false claims McCullough makes there, though he's a total lying grifter who has lied many times before about this stuff, so it shouldn't come as a surprise.
https://t.co/E3jXXMrPuZ"|en|0|0|1545833410366738438|1530610811693056008|2022-07-09T18:12:59.000Z|"@captainwonkish @punkybrewsters1 @TinkerCunt_ So argue with VAERS and Yellow card reports. 

https://t.co/KKOPDYxrOo"|en|1|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1544525387165745152|2231745588|2022-07-06T03:35:22.000Z|@JalisaDanielle_ He needs protection immediately. https://t.co/sokoMeR1BC|en|6|0|1544518910057357312|35762998|2022-07-06T03:09:38.000Z|There’s been a global recall on the 💉? 👀|en|83|21
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1544127370948657152|1220357677|2022-07-05T01:13:48.000Z|"@GraemeNZ01 @rnz_news You mean the same Doctor that claimed the Pandemic was planned? You're seriously using his claims as reliable?
https://t.co/Lkl80Ha4Xo"|en|0|0|1544093032357646336|817562431815680000|2022-07-04T22:57:21.000Z|@rnz_news Unlikely it can be pinned on one incident. Dr Peter Mcullough, who has testified to the US Senate on treatment of CoVid-19 said it takes a 3 hour exposure. And, Police are always at risk, being exposed to the public day-in, day-out.|en|0|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1543803611133591552|832284848|2022-07-04T03:47:18.000Z|@rottentoothe @charlieamerica @erichhartmann @CDCgov @US_FDA @ashishkjha @CDCDirector https://t.co/gget8CKlWz|qme|0|0|1543760944152674305|1378456246148341762|2022-07-04T00:57:45.000Z|@dan_melillo @charlieamerica @erichhartmann @CDCgov @US_FDA @ashishkjha @CDCDirector https://t.co/eB7S3yFaRk. Intresting info.|en|0|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1543636611161800704|1503549675638558722|2022-07-03T16:43:42.000Z|"@NewEnglandTrad The guy fired for spreading misinformation? Good source:)

https://t.co/CGpjGK1wx9"|en|0|0|1543591758210256900|1353529308673925121|2022-07-03T13:45:28.000Z|@run_nh No idea who he is speaking to, but that’s Peter McCullough. He’s one of if not the top published cardiologists.|en|0|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1543565176309678080|463423986|2022-07-03T11:59:50.000Z|"@TnucebeM @kellywind @AlexC59710883 @OzraeliAvi LOL, this guy?

https://t.co/Q6zqVfOzAd"|en|0|0|1543564119949078529|218744823|2022-07-03T11:55:38.000Z|"@kellywind @AlexC59710883 @MarkEGilly @OzraeliAvi Haha then its obvious you dont stay up with the times, he's very much in the fore as are many, MANY other doctors who finally have the guts to speak out against the lies that is 'all things covid' &amp; the toxin that according to Pfizers own docs is rather deadly.
Enjoy your bubble"|en|0|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1542638087611768840|1430197314010980353|2022-06-30T22:35:55.000Z|"@Butterbean411 @MLive https://t.co/ZLU4pu1yD2

https://t.co/zHSEmL253L

https://t.co/xK6Byd4Sry

https://t.co/45pmGQb95n

https://t.co/MkuybR7Vtl

https://t.co/QsuTiai6KV

https://t.co/q7tAyrMHrG

https://t.co/x4WUcUuW6e

https://t.co/67woRngvLC"|qme|0|0|1542636157942566914|1046152048696324096|2022-06-30T22:28:15.000Z|@DeirgVanStein @MLive So is the senate he's testified in front of numerous times. Actually he's quite respected in the medical community. But I know that you know that.|en|0|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1542637908758335488|239136268|2022-06-30T22:35:12.000Z|@TruthMule @hezzure @spc_stormborn @TorontoStar @DFisman More evidence this douche bag is a liar. https://t.co/uuyF3HqF6i|en|0|0|1542552909241532417|1464364532600606730|2022-06-30T16:57:27.000Z|@hezzure @Robert033003 @spc_stormborn @TorontoStar @DFisman https://t.co/ZJ5Y09LXNi|qme|0|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1542266756714184704|3307935872|2022-06-29T22:00:23.000Z|@TexasLindsay @P_McCulloughMD Review of his false statements with charts. https://t.co/0AlI1Q79qs|en|0|0|1542266658680717313|3307935872|2022-06-29T22:00:00.000Z|@TexasLindsay @P_McCulloughMD This guy has been discredited but sure you believe that’s a vast global conspiracy. He’s been show to make multiple inaccurate, unsubstantiated claims about source of covid &amp; vaccines. Here’s a link about his 2 hour interview w Joe Rogan 1/2|en|0|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1542221960947478528|1525899653870329856|2022-06-29T19:02:23.000Z|@SaraGonzalesTX @P_McCulloughMD @theblaze https://t.co/cTAir9eQ86|qme|0|0|1542218599594590208|375852740|2022-06-29T18:49:01.000Z|"Dr. @P_McCulloughMD is suing Twitter. I spoke to him today about their harsh censorship of one of the world’s most renowned physicians for “spreading medical misinformation.”

Full interview out in July exclusively on @theblaze because the truth…well, it isn’t allowed here. https://t.co/4k9muVYi6r"|en|772|268
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1542218630963888128|1448203025101754369|2022-06-29T18:49:09.000Z|"@colin_s_74 @dunningsback @domjoly @SarahCaul_ONS @truthorcorrupt @jneill @AThankless @profnfenton @d_spiegel Peter Mcculough let me educate you on the man

https://t.co/ixIKN5ugL3"|en|1|0|1542214835278069760|4394196400|2022-06-29T18:34:04.000Z|"@dunningsback @domjoly @SarahCaul_ONS @truthorcorrupt @jneill @AThankless @profnfenton @d_spiegel Truthorcorrupt (guess which) will have seen the response as they've been tweeting 👇after the last response from Sarah. Maybe time to consult with their ICU MD spouse, who doesn't know what this one is doing on SM or is fictitious, or is a danger too.
https://t.co/WmBGAog28u"|en|4|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1542056616316616704|1194357719714738177|2022-06-29T08:05:22.000Z|@EricaAlice55555 @Jimmykrakorn2 @P_McCulloughMD https://t.co/716aDI6dQU|qme|0|0|1542055463285661699|1541276361481981952|2022-06-29T08:00:47.000Z|@PavlosPavlova @Jimmykrakorn2 @P_McCulloughMD I've been a patient advocate for loved ones with rare autoimmune, hematological, and pulmonary diseases for a little over 20 years. He's not spreading misinformation. He's actually following science. Covid was always treatable. Cov's are capable of reverse transcriptase. Shot bad|en|1|0
63|FALSE: The pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity.”|https://www.poynter.org/?ifcn_misinformation=the-pandemic-was-planned-the-covid-19-vaccines-are-experimental-previously-infected-people-have-permanent-immunity|https://healthfeedback.org/claimreview/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/|Science Feedback|United States|2021/12/20|1541953462652571653|1051297858928947201|2022-06-29T01:15:28.000Z|@bearyfun61 @tongodeon @hansel21_ @Asif198121 @HexieHex @VaxxersAnti @CarlNicholls6 @DawnJen86536536 @Liberty88395090 @emmakennytv @theysayitrare He is an out and out liar tbh. https://t.co/1kVgWuU5vr|en|1|0|1541953329760174080|1051297858928947201|2022-06-29T01:14:56.000Z|@bearyfun61 @tongodeon @hansel21_ @Asif198121 @HexieHex @VaxxersAnti @CarlNicholls6 @DawnJen86536536 @Liberty88395090 @emmakennytv @theysayitrare Why do you trust him over the actual experts?  I’m seriously interested in the thought process to just believe him over all the real experts.|en|1|0
